Instance,BestCyclicAssignment,BestNearest,CLARA,CoefficientPropagation,CyclicAssignment,Farthest_First,KMEANS,NearestByCustomer,NearestByDepot,PAM,Parallel,RandomByElement,Simplified,Sweep,ThreeCriteriaClustering,UPGMC
p1,0.1005,0.1451,0.1148,0.1689,0.1005,0.1723,0.1504,0.1451,0.0913,0.1115,0.1451,0.065,0.1451,0.1451,0.1723,0.1946
p2,0.1005,0.1451,0.118,0.1689,0.1005,0.1723,0.1504,0.1451,0.0913,0.1115,0.1451,0.065,0.1451,0.1451,0.1723,0.1946
p3,0.0743,0.097,0.0698,0.1265,0.0585,0.1021,0.1003,0.097,0.06,0.0808,0.097,0.0315,0.097,0.097,0.0877,0.1482
p4,0.0392,0.0621,0.0416,0.0929,0.0405,0.072,0.0717,0.0621,0.0525,0.069,0.0621,0.0197,0.0621,0.0621,0.0923,0.082
p5,0.0529,0.0817,0.0526,0.077,0.0448,0.0923,0.0553,0.0817,0.0503,0.0419,0.0817,0.0197,0.0817,0.0817,0.0558,0.1161
p6,0.0582,0.0791,0.0455,0.0528,0.0477,0.036,0.0791,0.0791,0.0457,0.0636,0.0791,0.0186,0.0791,0.0791,0.0423,0.1068
p7,0.0392,0.0235,0.0389,0.0462,0.0382,0.0981,0.07,0.0371,0.0195,0.0437,0.0371,0.0177,0.0235,0.0235,0.0526,0.1093
p8,0.0237,0.0278,0.0167,0.0053,0.004,0.023,0.0183,0.0278,0.027,0.0229,0.0278,0.0039,0.0278,0.0278,0.0195,0.0738
p9,0.0247,0.0183,0.024,0.0149,0.0055,0.0296,0.0248,0.0183,0.0122,0.0182,0.0183,0.0038,0.0183,0.0183,0.0289,0.0794
p10,0.0153,0.032,0.0176,0.0307,0.03,0.0275,0.0294,0.032,0.0106,0.0179,0.032,0.0039,0.032,0.032,0.039,0.0585
p11,0.0202,0.0192,0.0157,0.0075,0.0037,0.0352,0.0167,0.0216,0.004,0.0093,0.0216,0.0038,0.0324,0.0242,0.0406,0.1037
p12,0.0638,0.0707,0.0634,0.0429,0.0529,0.0463,0.0707,0.0707,0.0707,0.0672,0.0707,0.0442,0.0707,0.0707,0.0707,0.3175
p15,0.039,0.0707,0.0638,0.0378,0.0415,0.0707,0.0707,0.0707,0.0707,0.0642,0.0707,0.0346,0.0707,0.0707,0.0707,0.2111
p18,0.039,0.0707,0.0528,0.0295,0.0378,0.0707,0.0672,0.0707,0.0707,0.064,0.0707,0.027,0.0707,0.0707,0.0707,0.194
p21,0.0279,0.0707,0.0389,0.0312,0.0247,0.0707,0.0672,0.0707,0.0707,0.0596,0.0707,0.0232,0.0707,0.0707,0.0707,0.1789
pr1,0.0647,0.0999,0.0561,0.0891,0.0185,0.0865,0.0999,0.0999,0.0406,0.0441,0.0999,0.0075,0.0999,0.0999,0.1269,0.0991
pr2,0.0443,0.023,0.0227,0.0622,0.0075,0.0363,0.0307,0.0281,0.0155,0.0236,0.0281,0.0073,0.0274,0.0281,0.0249,0.0754
pr3,0.0204,0.0427,0.0281,0.0385,0.0195,0.0622,0.065,0.0427,0.0213,0.0333,0.0427,0.0027,0.0427,0.0427,0.0693,0.077
pr4,0.0388,0.0305,0.0153,0.023,0.0053,0.0189,0.0291,0.0054,0.0152,0.0053,0.0054,0.0037,0.0183,0.0183,0.0252,0.0814
pr5,0.0222,0.0087,0.009,0.029,0.0019,0.0115,0.0123,0.0028,0.0094,0.0062,0.0028,0.002,0.0066,0.0038,0.0177,0.0295
pr6,0.017,0.0181,0.0089,0.02,0.0058,0.0195,0.0188,0.0114,0.0133,0.0102,0.0114,0.0027,0.0181,0.0208,0.0227,0.0535
pr7,0.0504,0.0534,0.04,0.0458,0.0086,0.083,0.0541,0.0347,0.0355,0.0744,0.0347,0.009,0.0758,0.0758,0.0926,0.0966
pr8,0.0332,0.0749,0.0184,0.0698,0.0094,0.0375,0.0251,0.0149,0.025,0.0204,0.0149,0.0054,0.0343,0.0239,0.0418,0.091
pr9,0.0048,0.024,0.0145,0.0018,0.0042,0.0284,0.0273,0.0114,0.0081,0.0077,0.0114,0.0021,0.0265,0.0293,0.0197,0.0694
